make,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
vauxhall, Corsa,2018,7885,Manual,9876,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,11995,Manual,2500,Petrol,145,54.3,1.4
vauxhall, Corsa,2017,9777,Automatic,9625,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,10000,Manual,3887,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,9743,Manual,13546,Petrol,145,49.6,1.4
vauxhall, Corsa,2011,3995,Manual,53067,Petrol,145,49.6,1.4
vauxhall, Corsa,2019,9990,Manual,3953,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,10000,Manual,11160,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,8095,Manual,17866,Petrol,145,54.3,1.4
vauxhall, Corsa,2018,9495,Manual,7905,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,6695,Manual,9293,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7199,Manual,20196,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10699,Manual,1757,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9699,Manual,4511,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,8999,Manual,4377,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8995,Manual,18016,Petrol,150,54.3,1.4
vauxhall, Corsa,2017,8500,Manual,28966,Petrol,145,54.3,1.4
vauxhall, Corsa,2018,10500,Manual,12000,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,11955,Manual,15531,Petrol,145,48.7,1.4
vauxhall, Corsa,2017,8198,Manual,6508,Petrol,145,54.3,1.4
vauxhall, Corsa,2017,7299,Manual,23462,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,10299,Manual,6178,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,9469,Manual,3402,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9520,Manual,2287,Petrol,145,43.5,1.4
vauxhall, Corsa,2016,8430,Automatic,21462,Petrol,150,47.9,1.4
vauxhall, Corsa,2018,8260,Manual,18000,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8498,Manual,7076,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8495,Manual,9495,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,10009,Manual,2124,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,10998,Automatic,176,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,9998,Manual,10250,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9555,Manual,3641,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7795,Manual,7045,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,12995,Manual,27,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10498,Manual,9260,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,8495,Manual,9976,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10000,Manual,2245,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,8444,Manual,14507,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8417,Manual,5000,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,11695,Manual,5,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8865,Manual,4008,Petrol,145,43.5,1.4
vauxhall, Corsa,2016,8351,Automatic,32643,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,11995,Manual,10,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,12495,Manual,15,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10595,Manual,10033,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,8995,Manual,7243,Petrol,150,55.4,1.4
vauxhall, Corsa,2019,12495,Manual,5,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10995,Manual,10131,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9495,Manual,6046,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8795,Manual,10969,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,8995,Manual,7786,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10595,Manual,5320,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10595,Manual,5786,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10595,Manual,7513,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,11595,Manual,10254,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,11595,Manual,12036,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7698,Manual,13192,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,10495,Manual,10218,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9498,Manual,17125,Petrol,150,43.5,1.4
vauxhall, Corsa,2017,6695,Manual,47000,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,9000,Manual,22000,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10498,Manual,4704,Petrol,150,43.5,1.4
vauxhall, Corsa,2017,7998,Manual,10647,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,7698,Manual,35688,Petrol,150,54.3,1.4
vauxhall, Corsa,2016,9450,Automatic,14977,Petrol,145,47.9,1.4
vauxhall, Corsa,2015,9298,Automatic,9382,Petrol,145,47.9,1.4
vauxhall, Corsa,2015,8498,Automatic,6388,Petrol,145,47.1,1.4
vauxhall, Corsa,2016,10495,Automatic,10825,Petrol,145,47.9,1.4
vauxhall, Corsa,2016,10498,Automatic,1326,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,8295,Manual,12103,Petrol,150,54.3,1.4
vauxhall, Corsa,2017,10798,Automatic,17285,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,8298,Manual,17472,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,9498,Manual,9992,Petrol,145,54.3,1.4
vauxhall, Corsa,2018,8998,Manual,19561,Petrol,150,55.4,1.4
vauxhall, Corsa,2018,8798,Manual,18840,Petrol,145,54.3,1.4
vauxhall, Corsa,2018,9498,Manual,19301,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,8798,Manual,18674,Petrol,145,55.4,1.4
vauxhall, Corsa,2018,9998,Manual,4309,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7798,Manual,24733,Petrol,145,54.3,1.4
vauxhall, Corsa,2017,7998,Manual,20522,Petrol,145,55.4,1.4
vauxhall, Corsa,2015,8998,Automatic,16476,Petrol,145,47.9,1.4
vauxhall, Corsa,2017,6280,Manual,50246,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7695,Manual,11551,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,7491,Manual,11331,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,8990,Manual,8948,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8298,Manual,30659,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10498,Manual,5161,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,10698,Automatic,6183,Petrol,150,39.8,1.4
vauxhall, Corsa,2017,7465,Manual,20050,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,7298,Manual,34670,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,10490,Manual,3000,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10490,Manual,2650,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8330,Manual,8233,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,8350,Manual,7441,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,10498,Manual,14826,Petrol,150,48.7,1.4
vauxhall, Corsa,2019,10998,Manual,9643,Petrol,145,44.8,1.4
vauxhall, Corsa,2019,9798,Manual,9626,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9798,Manual,5197,Petrol,145,43.5,1.4
vauxhall, Corsa,2016,8020,Automatic,54422,Petrol,145,47.9,1.4
vauxhall, Corsa,2016,9703,Automatic,15325,Petrol,145,47.9,1.4
vauxhall, Corsa,2018,8998,Manual,14157,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,9500,Manual,6862,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,9498,Manual,12887,Petrol,150,55.4,1.4
vauxhall, Corsa,2017,8798,Manual,17622,Petrol,145,55.4,1.4
vauxhall, Corsa,2015,8998,Automatic,24812,Petrol,145,47.9,1.4
vauxhall, Corsa,2017,7698,Manual,24595,Petrol,150,55.4,1.4
vauxhall, Corsa,2019,10498,Manual,10981,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,10698,Automatic,10109,Petrol,150,39.8,1.4
vauxhall, Corsa,2019,10698,Automatic,8718,Petrol,150,39.8,1.4
vauxhall, Corsa,2017,10998,Automatic,10792,Petrol,145,47.9,1.4
vauxhall, Corsa,2017,7798,Manual,21226,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8598,Manual,15659,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,9990,Manual,18474,Petrol,145,43.5,1.4
vauxhall, Corsa,2016,10795,Automatic,2518,Petrol,145,47.9,1.4
vauxhall, Corsa,2017,7495,Manual,24981,Petrol,150,54.3,1.4
vauxhall, Corsa,2018,9070,Manual,16403,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9250,Manual,5361,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9798,Manual,6674,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9798,Manual,5839,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,8151,Manual,25138,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,8340,Manual,5762,Petrol,145,54.3,1.4
vauxhall, Corsa,2018,9998,Automatic,10548,Petrol,145,39.8,1.4
vauxhall, Corsa,2017,8298,Manual,20528,Petrol,145,54.3,1.4
vauxhall, Corsa,2019,9490,Manual,3162,Petrol,150,43.5,1.4
vauxhall, Corsa,2019,9945,Manual,7,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,9598,Manual,12184,Petrol,150,43.5,1.4
vauxhall, Corsa,2018,8100,Manual,9390,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,9300,Automatic,13258,Petrol,145,47.9,1.4
vauxhall, Corsa,2019,10498,Manual,3204,Petrol,150,44.8,1.4
vauxhall, Corsa,2019,8460,Manual,4288,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10990,Manual,908,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10130,Manual,1632,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,9470,Manual,4498,Petrol,145,43.5,1.4
vauxhall, Corsa,2019,10798,Manual,9741,Petrol,150,44.8,1.4
vauxhall, Corsa,2019,10990,Manual,1932,Petrol,145,43.5,1.4
vauxhall, Corsa,2018,9340,Manual,20487,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,6991,Manual,18756,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,10798,Manual,7971,Petrol,145,44.8,1.4
vauxhall, Corsa,2017,7721,Manual,23341,Petrol,145,55.4,1.4
vauxhall, Corsa,2019,8530,Manual,8338,Petrol,145,43.5,1.4
vauxhall, Corsa,2017,7998,Manual,14209,Petrol,145,55.4,1.4
vauxhall, Corsa,2017,11498,Automatic,7068,Petrol,150,47.9,1.4
